addr,location,agency,_X,_Y
"서울특별시 도봉구 해등로12길 44(창동, 주공2단지아파트)",203동,창동주공2단지아파트,127.0414496,37.65266971
서울특별시 강동구 상일로 74-1,보건실 내,서울강명초등학교,127.1733736,37.5547051
서울특별시 도봉구 도봉로150나길 6,2층 민원실,서울북부보훈지청,127.0440893,37.66583763
서울특별시 강동구 고덕로24길 49,암사1동주민자치회관 1층관리사무소 앞,암사1동주민자치회관,127.135721,37.55237941
"서울특별시 양천구 남부순환로 331, 메디힐병원 (신월동)",구급차,메디힐병원,126.8278422,37.53726282
"서울특별시 노원구 동일로 1729, 수락중학교 (상계동)",중앙현관,수락중,127.054491,37.6831352
"서울특별시 구로구 고척로21나길 88-41, 미소들병원 (개봉동)",4B병동,미소들노인전문병원,126.8411989,37.50289758
서울특별시 도봉구 도당로 53,사무실,도봉주간보호센터,127.0345193,37.66298178
"서울특별시 서대문구 수색로 100(북가좌동, DMC 래미안 e편한세상)",2단지 커뮤니티센터 지하 출입구,DMC래미안e편한세상아파트,126.9121548,37.57558357
"서울특별시 서대문구 거북골로 100 (남가좌동, 래미안루센티아)",1단지 커뮤니티 헬스장 입구,래미안루센티아아파트,126.9201434,37.57629729
서울특별시 양천구 목동동로 430,611동 2라인,목동신시가지6단지,126.8836874,37.53526364
"서울특별시 광진구 자양로 76, 동서울우편집중국 (자양동)",2층 공용복도,동서울우편집중국,127.0848975,37.5359161
서울특별시 노원구 공릉로 129 구립공릉어르신복지센터 (공릉동),2층 센터장실 옆,구립공릉어르신복지센터,127.078955,37.62170252
"서울특별시 성북구 동소문로 181, 성북성심빌딩 (돈암동)",구급차,성북성심신경과의원,127.0214452,37.59839092
"서울특별시 관악구 호암로 549, 성민종합사회복지관 (신림동)",2층 로비,성민종합사회복지관,126.9312345,37.46678112
"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",앰블런스 내부,에이치플러스양지병원,126.9323604,37.4842747
"서울특별시 영등포구 국제금융로7길 37, 여의도고등학교 (여의도동)",본관 1층 중앙현관,여의도고등학교,126.9332229,37.52555997
서울특별시 중구 남대문로5길 15  (북창동),B1F 휘트니스센터,소테츠호텔즈더스프라지르서울명동,126.9787401,37.56207602
"서울특별시 동대문구 장한로 152, 원우빌딩 (장안동)",7병동,햇살요양병원,127.0721782,37.57399968
서울특별시 구로구 가마산로 87 (구로동) 한일유앤아이아파트,경비실 내,구로한일유앤아이,126.8760813,37.48640562
"서울특별시 노원구 수락산로8가길 26, 수락산스포츠타운(축구장) (상계동)",수락산스포츠타운(축구장)관람석,노원구서비스공단,127.0702209,37.66824857
서울특별시 강동구 고덕로 131,관리사무실 내부,강동롯데캐슬퍼스트아파트,127.1421294,37.55770888
"서울특별시 영등포구 양산로 111, 영등포구청 별관 (당산동3가)",별관A동(신관) 출입문,영등포구청 별관,126.8955219,37.52472405
"서울특별시 동작구 사당로27길 181  (사당동, 사당 롯데캐슬)",정문 경비실,사당롯데캐슬2차아파트,126.9716268,37.49055181
